"Nomenclatu","hex_idx"
"P-3.1.7",35
"P-3.1.8",36
"P-3.2.5",36
"P-3.1.5",40
"P-3.1.3",40
"P-3.1.6",40
"P-3.2.4",41
"P-3.1.2",22
"P-3.1.1",22
"P-3.1.4",23
"P-3.2.6",23
"P-1.1.1",20
"P-4.1.11",29
"P-3.2.1",29
"P-3.2.2",30
"P-3.2.3",30
"P-1.4.5",30
"P-1.1.3",24
"P-1.1.7",24
"S-3.2.12",25
"P-1.1.2",25
"S-3.2.13",25
"S-3.2.11",25
"S-3.2.10",25
"S-3.2.9",25
"S-3.1.5",26
"S-3.1.4",26
"P-4.1.7",5
"P-4.1.9",6
"P-4.1.12",6
"P-4.1.10",6
"P-1.4.1",1
"P-1.4.3",1
"P-1.4.2",1
"P-1.4.4",1
"P-1.1.9",2
"P-1.4.7",2
"P-1.1.10",2
"P-1.4.6",2
"S-3.2.5",3
"S-3.2.1",3
"S-3.2.7",3
"S-3.2.6",3
"S-3.1.2",3
"S-3.2.4",3
"P-1.1.4",3
"S-3.1.1",3
"P-1.1.8",3
"S-3.2.8",3
"S-4.4.6",4
"S-3.1.6",4
"S-3.1.3",4
"S-4.4.1",4
"S-4.4.3",4
"S-4.4.5",4
"S-4.4.7",17
"S-4.5.1",18
"P-2.3.2",12
"P-2.3.3",12
"P-2.1.2",12
"P-2.3.6",12
"P-2.3.4",12
"P-2.3.1",12
"P-2.1.1",12
"P-2.1.10",13
"P-2.1.11",13
"P-2.1.12",13
"P-4.4.1",13
"P-2.1.9",13
"P-4.3.4",14
"P-4.1.1",14
"P-4.2.1",14
"P-4.3.1",14
"P-4.3.3",14
"P-4.3.7",14
"P-4.4.2",14
"P-4.3.5",14
"P-4.3.8",14
"P-4.3.2",14
"P-4.2.2",14
"P-4.3.6",14
"P-4.4.3",14
"P-4.5.2",15
"P-4.1.2",15
"P-4.1.5",15
"P-4.1.3",15
"P-4.1.8",15
"P-4.1.6",15
"P-4.2.9",15
"P-4.1.4",15
"P-1.2.1",8
"P-4.5.1",8
"P-4.5.3",8
"P-1.2.3",8
"P-1.2.4",8
"P-1.2.6",8
"P-1.2.11",9
"P-1.2.10",9
"P-1.2.9",9
"P-1.1.5",9
"P-1.2.8",9
"P-1.3.8",10
"P-1.1.6",10
"P-1.3.9",10
"S-3.2.2",10
"P-1.3.6",10
"S-3.2.3",10
"P-1.3.7",10
"P-1.3.10",11
